user_id,name,age,email_id,email_domain,email_breach_history,email_isValid,email_domainValidation,email_Microsoft,email_LinkedIn,email_Meta,email_DisposableId,email_emailAge,phone_number,phone_carrier,phone_disposableSim,phone_phoneAge
pr7795,Ava Smith,65,cygsgogo@gmail.com,gmail,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,7769391493,Airtel,FALSE,5
lc6356,James Rodriguez,63,hiducwxc@aol.com,aol,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,4764029916,T-Mobile,FALSE,1
kc0612,Sophia Miller,42,pebhatpz@hotmail.com,hotmail,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,8416451039,T-Mobile,FALSE,1
tz0563,Michael Jones,30,igbqyexn@hotmail.com,hotmail,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,7210961045,Vodafone,TRUE,3
zf0342,Alexander Miller,59,uknteeyo@throwaway.com,throwaway,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,4539717514,AT&T,TRUE,5
sd1006,James Jones,51,rcatufxq@aol.com,aol,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,3226928096,Vodafone,TRUE,5
yu2085,John Jones,33,dulvqmfm@fakeemail.net,fakeemail,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5,3940012073,AT&T,TRUE,4
zl3108,Michael Davis,62,mmndkyll@gmail.com,gmail,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,2139464697,AT&T,TRUE,5
do5194,James Smith,47,zplluofk@hotmail.com,hotmail,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,10,4797452757,Vodafone,TRUE,2
ys5919,Sophia Jones,58,zgcmnlnl@outlook.com,outlook,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9,7754573906,Vodafone,FALSE,4
pc7224,Michael Brown,58,knoxtwmq@spam.xyz,spam,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,8505427410,AT&T,TRUE,1
zi8272,Isabella Smith,63,zzctdphv@gmail.com,gmail,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,6,4188905863,Vodafone,TRUE,3
dl3366,Michael Johnson,80,ayimrjra@aol.com,aol,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,9395334833,Vodafone,FALSE,3
el6602,Michael Brown,48,wbcgkamc@aol.com,aol,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,7,7006790188,Vodafone,FALSE,4
de3386,Sophia Martinez,23,abtklznp@yahoo.com,yahoo,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9,6964716169,Sprint,TRUE,5
ak5601,Emma Davis,42,ojwexupg@gmail.com,gmail,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,5150575014,Airtel,TRUE,5
yi0746,James Martinez,20,kigivoaa@tempmail.com,tempmail,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,9,3401181847,T-Mobile,TRUE,1
hh6555,Alexander Williams,37,askfusas@aol.com,aol,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,4724636940,Verizon,TRUE,2
rt8557,Alexander Garcia,18,wxnphvcn@aol.com,aol,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10,8467976088,Sprint,TRUE,3
bd3421,Isabella Rodriguez,63,pmesyfrm@yahoo.com,yahoo,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,7668950422,T-Mobile,FALSE,2
ak7500,Alexander Johnson,55,kgxitwuo@yahoo.com,yahoo,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,8,1582866296,T-Mobile,TRUE,3
sv5164,William Martinez,63,gpziakyy@throwaway.com,throwaway,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4,7300362418,AT&T,TRUE,1
tr8063,William Garcia,72,myptpnar@yahoo.com,yahoo,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,6449847964,AT&T,TRUE,3
bn5695,Emma Rodriguez,52,pqffldqv@yahoo.com,yahoo,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,9,6379470365,Vodafone,FALSE,2
vh4583,Alexander Johnson,31,jojhfvqr@throwaway.com,throwaway,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,9611449780,AT&T,FALSE,5
mm4009,James Jones,67,pdtpqiae@outlook.com,outlook,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,7,4986425255,T-Mobile,TRUE,2
hq0296,John Garcia,75,bfimmmvv@yahoo.com,yahoo,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,1369702452,Sprint,TRUE,1
